Strategy,TimestampUTC,Return%,Sharpe,MaxDD%,Trades,WinRate%,AvgWin%,AvgLoss%,Expectancy%,Exposure%,prob,size,stop,take,trail,ok
-2.113463204010213,-0.010812065810204817,-0.0134746985124359,12.2681126458827,420.0,45.714285714285715,0.9634870965270064,2025-09-15 18:04:33,,,,0.65,1.0,0.02,0.05,0.01,True
0.9855086430238469,0.0078514402638238,0.0094420713532425,13.215132504813631,420.0,46.904761904761905,1.0281414472138748,2025-09-15 18:04:34,,,,0.65,1.0,0.02,0.05,0.02,True
1.2066461187268285,0.03156183931149176,0.0470385354554017,3.398388615240011,360.0,45.83333333333333,1.116275889734583,2025-09-15 18:04:35,,,,0.7,0.25,0.01,0.02,0.01,True
1.2066461187268285,0.03156183931149176,0.0470385354554017,3.398388615240011,360.0,45.83333333333333,1.116275889734583,2025-09-15 18:04:36,,,,0.7,0.25,0.01,0.02,0.02,True
0.23298749217790515,0.007052279284410536,0.0096625934271212,2.731420909690796,360.0,45.55555555555556,1.023806501989592,2025-09-15 18:04:38,,,,0.7,0.25,0.01,0.03,0.01,True
0.23298749217790515,0.007052279284410536,0.0096625934271212,2.731420909690796,360.0,45.55555555555556,1.023806501989592,2025-09-15 18:04:39,,,,0.7,0.25,0.01,0.03,0.02,True
0.23298749217790515,0.007052279284410536,0.0096625934271212,2.731420909690796,360.0,45.55555555555556,1.023806501989592,2025-09-15 18:04:40,,,,0.7,0.25,0.01,0.05,0.01,True
0.23298749217790515,0.007052279284410536,0.0096625934271212,2.731420909690796,360.0,45.55555555555556,1.023806501989592,2025-09-15 18:04:41,,,,0.7,0.25,0.01,0.05,0.02,True
0.6999803505678859,0.01783498707053788,0.0241391373841264,3.398388615239911,360.0,45.83333333333333,1.0655077222280895,2025-09-15 18:04:42,,,,0.7,0.25,0.02,0.02,0.01,True
1.161533549032101,0.028909085740828535,0.0373833078845517,3.831375607254861,360.0,46.94444444444444,1.111456432998727,2025-09-15 18:04:43,,,,0.7,0.25,0.02,0.02,0.02,True
-0.26880389751978706,-0.006691792341790918,-0.0083894012908605,2.731420909690796,360.0,45.55555555555556,0.9773092840191304,2025-09-15 18:04:44,,,,0.7,0.25,0.02,0.03,0.01,True
0.18830892799899246,0.005509571901993842,0.0066123577197642,3.167575693703095,360.0,46.666666666666664,1.019644588904023,2025-09-15 18:04:45,,,,0.7,0.25,0.02,0.03,0.02,True
-0.26880389751978706,-0.006691792341790918,-0.0083894012908605,2.731420909690796,360.0,45.55555555555556,0.9773092840191304,2025-09-15 18:04:46,,,,0.7,0.25,0.02,0.05,0.01,True
0.18830892799899246,0.005509571901993842,0.0066123577197642,3.167575693703095,360.0,46.666666666666664,1.019644588904023,2025-09-15 18:04:47,,,,0.7,0.25,0.02,0.05,0.02,True
2.3854200397898317,0.0315618540065911,0.0470385680958113,6.661942324589631,360.0,45.83333333333333,1.116275889734583,2025-09-15 18:04:48,,,,0.7,0.5,0.01,0.02,0.01,True
2.3854200397898317,0.0315618540065911,0.0470385680958113,6.661942324589631,360.0,45.83333333333333,1.116275889734583,2025-09-15 18:04:49,,,,0.7,0.5,0.01,0.02,0.02,True
0.43144175946239205,0.007052282862581477,0.0096626001443412,5.3781198911283195,360.0,45.55555555555556,1.023806501989592,2025-09-15 18:04:50,,,,0.7,0.5,0.01,0.03,0.01,True
0.43144175946239205,0.007052282862581477,0.0096626001443412,5.3781198911283195,360.0,45.55555555555556,1.023806501989592,2025-09-15 18:04:52,,,,0.7,0.5,0.01,0.03,0.02,True
0.43144175946239205,0.007052282862581477,0.0096626001443412,5.3781198911283195,360.0,45.55555555555556,1.023806501989592,2025-09-15 18:04:53,,,,0.7,0.5,0.01,0.05,0.01,True
0.43144175946239205,0.007052282862581477,0.0096626001443412,5.3781198911283195,360.0,45.55555555555556,1.023806501989592,2025-09-15 18:04:54,,,,0.7,0.5,0.01,0.05,0.02,True
